symbol,identifier,series,isin,industry,companyName,lastPrice,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,nearWKH,nearWKL,perChange365d,perChange30d,key,index,indexSymbol,last,variation,percentChange,yearLow,declines,advances,unchanged,previousDay,oneWeekAgo,oneMonthAgo,oneYearAgo
ITI,ITIEQN,EQ,INE248A01017,Telecom - Equipment & Accessories,ITI Limited,287.4,-2.25,-0.78,128248.0,36871300.0,384.3,25.214676034348173,-66.5604172703564,153.11,1.3,,,,,,,,,,,,,,
UCOBANK,UCOBANKEQN,EQ,INE691A01018,Public Sector Bank,UCO Bank,49.13,-0.37,-0.75,1664186.0,81778100.04,70.65,30.460014154281673,-41.38129496402878,63.53,-7.54,,,,,,,,,,,,,,
PRAJIND,PRAJINDEQN,EQ,INE074A01025,Industrial Products,Praj Industries Limited,753.2,-4.9,-0.65,285755.0,214541996.45,812.95,7.349775508948889,-68.12500000000001,54.96,10.96,,,,,,,,,,,,,,
HONASA,HONASAEQN,EQ,INE0J5401028,Personal Care,Honasa Consumer Limited,473.4,-2.9,-0.61,1625278.0,763051768.22,547.0,13.455210237659967,-84.70542333203275,-,11.04,,,,,,,,,,,,,,
NSLNISP,NSLNISPEQN,EQ,INE0NNS01018,Iron & Steel,NMDC Steel Limited,52.77,-0.31,-0.58,1800434.0,94738837.08,73.7,28.398914518317504,-34.789272030651354,-6.63,-5.91,,,,,,,,,,,,,,
CENTRALBK,CENTRALBKEQN,EQ,INE483A01010,Public Sector Bank,Central Bank of India,60.06,-0.29,-0.48,1761007.0,105730860.28,76.9,21.898569570871267,-47.02570379436964,74.88,-2.4,,,,,,,,,,,,,,
SHYAMMETL,SHYAMMETLEQN,EQ,INE810G01011,Iron & Steel Products,Shyam Metalics and Energy Limited,895.9,-3.45,-0.38,631701.0,560400908.13,908.9,1.430300363076246,-113.20799619228939,65.77,9.69,,,,,,,,,,,,,,
REDINGTON,REDINGTONEQN,EQ,INE891D01026,Trading & Distributors,Redington Limited,188.77,-0.66,-0.35,820203.0,154509841.14,237.55,20.534624289623235,-38.59765051395009,29.23,-0.34,,,,,,,,,,,,,,
KEC,KECEQN,EQ,INE389H01022,Civil Construction,KEC International Limited,975.0,-3.25,-0.33,128466.0,124712223.47999999,1040.0,6.25,-77.25661303517865,41.41,7.37,,,,,,,,,,,,,,
TRIDENT,TRIDENTEQN,EQ,INE064C01022,Other Textile Products,Trident Limited,36.52,-0.11,-0.3,2344164.0,85796402.4,52.9,30.964083175803395,-12.716049382716063,-6.62,-3.22,,,,,,,,,,,,,,
JBMA,JBMAEQN,EQ,INE927D01044,Auto Components & Equipments,JBM Auto Limited,2020.15,-5.55,-0.27,280916.0,572194991.24,2428.35,16.80976794943068,-81.44788251672881,25.21,-1.58,,,,,,,,,,,,,,
GNFC,GNFCEQN,EQ,INE113A01013,Commodity Chemicals,Gujarat Narmada Valley Fertilizers and Chemicals Limited,653.45,-1.1,-0.17,263648.0,172019774.08,814.9,19.812246901460295,-10.707327403642532,9.64,0.6,,,,,,,,,,,,,,
UJJIVANSFB,UJJIVANSFBEQN,EQ,INE551W01018,Other Bank,Ujjivan Small Finance Bank Limited,42.85,-0.07,-0.16,4011878.0,171347309.38,63.0,31.98412698412698,-7.125000000000003,-10.02,-1.94,,,,,,,,,,,,,,
CIEINDIA,CIEINDIAEQN,EQ,INE536H01010,Auto Components & Equipments,CIE Automotive India Limited,563.35,-0.85,-0.15,80406.0,45303956.64000001,622.4,9.4874678663239,-38.48328416912488,12.47,1.61,,,,,,,,,,,,,,
RITES,RITESEQN,EQ,INE320J01015,Civil Construction,RITES Limited,710.9,-0.7,-0.1,841523.0,597986243.8000001,825.95,13.9294146134754,-64.44598658339115,27.31,-10.13,,,,,,,,,,,,,,
